Item No.,Description,Price (�)
45034,Kendrick Lemar Signed CD 2011,120.00
45045,Raspberry Pi Robot Arm,39.99
45049,Raspberry Pi Model A,19.99
45050,Raspberry Pi Model A,19.99
45052,Raspberry Pi Model A,19.99
45053,Raspberry Pi Model B,22.99
45054,Raspberry Pi Model B Used,18.99
45055,Raspberry Pi Model B+,23.99
45056,Raspberry Pi Model B+,23.99
45058,Raspberry Pi 2 Model B,30.00
45059,Raspberry Pi 2 Model B,30.00
45061,Raspberry Pi 2 Model A,27.00
53434,Small Electronics Pack,12.00
53435,Small Electronics Pack,12.00
53436,Small Electronics Pack,12.00
53437,Small Electronics Pack,12.00
46832,Small Wire Pack,3.00
46833,Small Wire Pack,3.00
46834,Small Wire Pack,3.00
44559,RPiBot 5000,4500.00
44565,RPiBot 4000,2999.99
